post_id,username,date,topic,hashtag,text,likes,retweets,replies,total_engagement,month
101,user_152,2026-02-20 02:00:00,Food,#Delicious,"I'm so angry about this Food decision, it's awful. #Delicious",2.0,11,6,19.0,2026-02
102,user_11,2026-01-31 18:00:00,Entertainment,#Bollywood,Really happy and excited about this Entertainment news! #Bollywood,50.0,19,29,98.0,2026-01
103,user_166,2026-01-18 16:00:00,Travel,#Explore,Feeling sad and upset about this Travel outcome. #Explore,36.0,5,12,53.0,2026-01
104,user_93,2026-01-28 13:00:00,Travel,#Adventure,"Great job on this Travel thing, truly impressive! #Adventure",15.0,8,0,23.0,2026-01
105,user_70,2026-05-14 20:00:00,Education,#Learning,"Education news for today, check it out. #Learning",1.0,49,14,64.0,2026-05
106,user_63,2026-03-10 10:00:00,Education,#Study,Feeling sad and upset about this Education outcome. #Study,59.0,7,1,67.0,2026-03
107,user_157,2026-04-29 18:00:00,Sports,#Football,"Great job on this Sports thing, truly impressive! #Football",8.0,4,6,18.0,2026-04
108,user_55,2026-02-16 15:00:00,Health,#Wellness,"Great job on this Health thing, truly impressive! #Wellness",62.0,16,2,80.0,2026-02
109,user_71,2026-06-02 22:00:00,Travel,#Explore,This is a report regarding recent Travel activity. #Explore,154.0,20,6,180.0,2026-06
110,user_105,2026-03-03 23:00:00,Technology,#AI,This Technology news is terrible and frustrating to hear. #AI,47.0,8,2,57.0,2026-03
111,user_126,2026-06-15 22:00:00,Education,#OnlineClass,This Education news is terrible and frustrating to hear. #OnlineClass,22.0,21,0,43.0,2026-06
112,user_178,2026-02-26 12:00:00,Education,#Students,Here is an update about Education for everyone to see. #Students,6.0,0,0,6.0,2026-02
113,user_136,2026-05-02 17:00:00,Entertainment,#Celebrity,"Wonderful experience with Entertainment today, feeling grateful! #Celebrity",96.0,18,5,119.0,2026-05
114,user_180,2026-03-26 11:00:00,Travel,#Wanderlust,Feeling sad and upset about this Travel outcome. #Wanderlust,5.0,10,5,20.0,2026-03
115,user_50,2026-01-31 23:00:00,Education,#Learning,Really happy and excited about this Education news! #Learning,9.0,8,4,21.0,2026-01
116,user_190,2026-02-19 06:00:00,Travel,#Vacation,"Wonderful experience with Travel today, feeling grateful! #Vacation",47.0,15,0,62.0,2026-02
117,user_26,2026-06-02 09:00:00,Education,#Study,"Wonderful experience with Education today, feeling grateful! #Study",23.0,14,5,42.0,2026-06
118,user_182,2026-03-19 00:00:00,Entertainment,#Music,Really happy and excited about this Entertainment news! #Music,97.0,16,1,114.0,2026-03
119,user_33,2026-03-16 22:00:00,Politics,#News,"I absolutely love this Politics content, it's amazing! #News",3.0,15,0,18.0,2026-03
120,user_123,2026-03-14 15:00:00,Education,#Study,"I absolutely love this Education content, it's amazing! #Study",44.0,42,6,92.0,2026-03
121,user_17,2026-05-03 03:00:00,Education,#Students,"I absolutely love this Education content, it's amazing! #Students",24.0,15,4,43.0,2026-05
122,user_145,2026-02-08 04:00:00,Health,#Health,This Health update is disappointing and poorly done. #Health,39.0,42,3,84.0,2026-02
123,user_156,2026-05-23 13:00:00,Food,#Foodie,"This is the best Food update I've seen, fantastic work! #Foodie",162.0,35,1,198.0,2026-05
124,user_151,2026-04-24 09:00:00,Entertainment,#Drama,"Entertainment news for today, check it out. #Drama",3.0,1,0,4.0,2026-04
125,user_26,2026-06-06 23:00:00,Health,#Health,"Wonderful experience with Health today, feeling grateful! #Health",4.0,17,0,21.0,2026-06
126,user_45,2026-02-10 07:00:00,Entertainment,#Movies,"Worst experience ever with Entertainment, totally unacceptable. #Movies",19.0,27,0,46.0,2026-02
127,user_121,2026-06-26 19:00:00,Sports,#WorldCup,"Great job on this Sports thing, truly impressive! #WorldCup",84.0,4,1,89.0,2026-06
128,user_19,2026-06-29 14:00:00,Food,#Cooking,Really happy and excited about this Food news! #Cooking,59.0,14,16,89.0,2026-06
129,user_109,2026-06-19 06:00:00,Entertainment,#Bollywood,Sharing details about the latest Entertainment developments. #Bollywood,66.0,24,2,92.0,2026-06
130,user_19,2026-03-10 04:00:00,Sports,#Football,Feeling sad and upset about this Sports outcome. #Football,9.0,20,13,42.0,2026-03
131,user_113,2026-05-26 09:00:00,Technology,#Innovation,Really happy and excited about this Technology news! #Innovation,232.0,7,3,242.0,2026-05
132,user_139,2026-03-11 16:00:00,Sports,#WorldCup,"Worst experience ever with Sports, totally unacceptable. #WorldCup",74.0,6,21,101.0,2026-03
133,user_83,2026-04-21 23:00:00,Education,#Education,This Education update is disappointing and poorly done. #Education,97.0,8,11,116.0,2026-04
134,user_196,2026-05-31 00:00:00,Food,#Restaurant,"This is the best Food update I've seen, fantastic work! #Restaurant",70.0,1,18,89.0,2026-05
135,user_114,2026-05-13 20:00:00,Food,#Delicious,This Food news is terrible and frustrating to hear. #Delicious,35.0,26,3,64.0,2026-05
136,user_24,2026-06-12 15:00:00,Food,#Delicious,"Wonderful experience with Food today, feeling grateful! #Delicious",112.0,7,0,119.0,2026-06
137,user_42,2026-06-21 03:00:00,Education,#Students,Really happy and excited about this Education news! #Students,117.0,1,3,121.0,2026-06
138,user_195,2026-06-19 12:00:00,Travel,#Explore,"I'm so angry about this Travel decision, it's awful. #Explore",149.0,45,6,200.0,2026-06
139,user_198,2026-03-24 03:00:00,Technology,#Coding,"Worst experience ever with Technology, totally unacceptable. #Coding",49.0,8,2,59.0,2026-03
140,user_14,2026-04-29 13:00:00,Health,#MentalHealth,Here is an update about Health for everyone to see. #MentalHealth,19.0,16,11,46.0,2026-04
141,user_195,2026-06-10 14:00:00,Entertainment,#Drama,This Entertainment update is disappointing and poorly done. #Drama,78.0,23,0,101.0,2026-06
142,user_179,2026-03-15 14:00:00,Technology,#Tech,"Wonderful experience with Technology today, feeling grateful! #Tech",34.0,0,6,40.0,2026-03
143,user_41,2026-03-03 22:00:00,Education,#Study,"This Education update made my day, absolutely brilliant! #Study",29.0,32,3,64.0,2026-03
144,user_30,2026-01-24 07:00:00,Food,#Delicious,This Food update is disappointing and poorly done. #Delicious,6.0,2,11,19.0,2026-01
145,user_75,2026-05-08 22:00:00,Education,#Learning,Sharing details about the latest Education developments. #Learning,48.0,1,0,49.0,2026-05
146,user_142,2026-03-04 14:00:00,Food,#Delicious,"I'm so angry about this Food decision, it's awful. #Delicious",60.0,1,13,74.0,2026-03
147,user_71,2026-02-04 02:00:00,Politics,#News,"Wonderful experience with Politics today, feeling grateful! #News",61.0,1,0,62.0,2026-02
148,user_186,2026-01-01 09:00:00,Health,#Wellness,"Wonderful experience with Health today, feeling grateful! #Wellness",215.0,7,3,225.0,2026-01
149,user_138,2026-02-08 14:00:00,Food,#Delicious,An update on Food matters was released today. #Delicious,83.0,44,34,161.0,2026-02
150,user_83,2026-04-07 14:00:00,Education,#Study,"Wonderful experience with Education today, feeling grateful! #Study",69.0,7,0,76.0,2026-04
151,user_199,2026-04-09 07:00:00,Entertainment,#Bollywood,Just sharing some Entertainment information today. #Bollywood,75.0,12,4,91.0,2026-04
152,user_99,2026-06-30 12:00:00,Health,#Gym,"This Health update made my day, absolutely brilliant! #Gym",118.0,1,5,124.0,2026-06
153,user_85,2026-05-09 18:00:00,Politics,#Election,"I really hate how this Politics situation turned out, so disappointing. #Election",0.0,9,0,9.0,2026-05
154,user_4,2026-05-15 14:00:00,Sports,#Cricket,"Sports news for today, check it out. #Cricket",6.0,1,8,15.0,2026-05
155,user_68,2026-01-20 15:00:00,Politics,#Election,Feeling sad and upset about this Politics outcome. #Election,68.0,13,26,107.0,2026-01
156,user_137,2026-03-26 21:00:00,Travel,#Travel,"I'm so angry about this Travel decision, it's awful. #Travel",23.0,5,16,44.0,2026-03
157,user_159,2026-05-19 01:00:00,Health,#Gym,Sharing details about the latest Health developments. #Gym,12.0,49,0,61.0,2026-05
158,user_24,2026-02-28 23:00:00,Sports,#Sports,"This Sports update made my day, absolutely brilliant! #Sports",175.0,0,17,192.0,2026-02
159,user_178,2026-04-24 05:00:00,Health,#Health,Sharing details about the latest Health developments. #Health,37.0,74,0,111.0,2026-04
160,user_92,2026-01-15 09:00:00,Food,#Cooking,Here is an update about Food for everyone to see. #Cooking,40.0,52,5,97.0,2026-01
161,user_175,2026-04-16 18:00:00,Travel,#Wanderlust,This Travel news is terrible and frustrating to hear. #Wanderlust,49.0,17,4,70.0,2026-04
162,user_175,2026-04-08 19:00:00,Politics,#News,"I absolutely love this Politics content, it's amazing! #News",49.0,13,18,80.0,2026-04
163,user_164,2026-03-01 14:00:00,Entertainment,#Music,This Entertainment update is disappointing and poorly done. #Music,2.0,4,24,30.0,2026-03
164,user_174,2026-04-30 09:00:00,Food,#Foodie,Feeling sad and upset about this Food outcome. #Foodie,110.0,9,7,126.0,2026-04
165,user_109,2026-03-18 20:00:00,Politics,#News,Really happy and excited about this Politics news! #News,16.0,3,4,23.0,2026-03
166,user_28,2026-04-09 15:00:00,Food,#Recipe,"Worst experience ever with Food, totally unacceptable. #Recipe",21.0,13,0,34.0,2026-04
167,user_76,2026-03-17 22:00:00,Entertainment,#Bollywood,Really happy and excited about this Entertainment news! #Bollywood,183.0,64,9,256.0,2026-03
168,user_145,2026-03-12 00:00:00,Technology,#Gadgets,Sharing details about the latest Technology developments. #Gadgets,38.0,5,13,56.0,2026-03
169,user_156,2026-03-15 07:00:00,Technology,#Gadgets,Sharing details about the latest Technology developments. #Gadgets,57.0,2,19,78.0,2026-03
170,user_194,2026-03-06 21:00:00,Travel,#Wanderlust,"This is the best Travel update I've seen, fantastic work! #Wanderlust",35.0,44,10,89.0,2026-03
171,user_9,2026-03-21 14:00:00,Politics,#Politics,Feeling sad and upset about this Politics outcome. #Politics,47.0,8,21,76.0,2026-03
172,user_107,2026-03-25 23:00:00,Travel,#Explore,Here is an update about Travel for everyone to see. #Explore,100.0,0,0,100.0,2026-03
173,user_70,2026-05-16 16:00:00,Politics,#Government,"Wonderful experience with Politics today, feeling grateful! #Government",23.0,24,34,81.0,2026-05
174,user_120,2026-03-28 03:00:00,Politics,#Government,"Great job on this Politics thing, truly impressive! #Government",8.0,13,3,24.0,2026-03
175,user_24,2026-05-23 11:00:00,Sports,#WorldCup,"This is the best Sports update I've seen, fantastic work! #WorldCup",175.0,27,14,216.0,2026-05
176,user_173,2026-04-27 11:00:00,Health,#Health,"Wonderful experience with Health today, feeling grateful! #Health",35.0,8,2,45.0,2026-04
177,user_60,2026-01-28 21:00:00,Food,#Cooking,Feeling sad and upset about this Food outcome. #Cooking,2.0,30,13,45.0,2026-01
178,user_166,2026-06-06 07:00:00,Education,#Students,"Wonderful experience with Education today, feeling grateful! #Students",408.0,85,6,499.0,2026-06
179,user_30,2026-06-16 13:00:00,Sports,#Sports,"I'm so angry about this Sports decision, it's awful. #Sports",73.0,43,15,131.0,2026-06
180,user_25,2026-05-07 03:00:00,Politics,#Government,"I absolutely love this Politics content, it's amazing! #Government",14.0,8,1,23.0,2026-05
181,user_172,2026-04-27 11:00:00,Entertainment,#Drama,Just sharing some Entertainment information today. #Drama,154.0,13,2,169.0,2026-04
182,user_26,2026-04-17 20:00:00,Health,#Fitness,Feeling sad and upset about this Health outcome. #Fitness,55.0,14,3,72.0,2026-04
183,user_56,2026-06-26 11:00:00,Education,#Education,"Worst experience ever with Education, totally unacceptable. #Education",6.0,16,5,27.0,2026-06
184,user_95,2026-01-26 21:00:00,Education,#Students,This Education news is terrible and frustrating to hear. #Students,73.0,11,15,99.0,2026-01
185,user_24,2026-02-01 14:00:00,Travel,#Vacation,Really happy and excited about this Travel news! #Vacation,40.0,12,16,68.0,2026-02
186,user_63,2026-01-13 10:00:00,Entertainment,#Movies,This Entertainment update is disappointing and poorly done. #Movies,25.0,2,0,27.0,2026-01
187,user_151,2026-05-22 06:00:00,Politics,#Politics,Just sharing some Politics information today. #Politics,70.0,14,9,93.0,2026-05
188,user_1,2026-02-07 19:00:00,Entertainment,#Celebrity,Just sharing some Entertainment information today. #Celebrity,11.0,2,0,13.0,2026-02
189,user_45,2026-05-19 08:00:00,Food,#Recipe,Just sharing some Food information today. #Recipe,21.0,13,3,37.0,2026-05
190,user_61,2026-01-04 11:00:00,Sports,#Football,"I really hate how this Sports situation turned out, so disappointing. #Football",28.0,35,3,66.0,2026-01
191,user_108,2026-02-02 23:00:00,Travel,#Travel,Really happy and excited about this Travel news! #Travel,36.0,22,4,62.0,2026-02
192,user_152,2026-04-03 16:00:00,Sports,#WorldCup,"Sports news for today, check it out. #WorldCup",48.0,29,23,100.0,2026-04
193,user_169,2026-01-12 23:00:00,Sports,#Match,This Sports news is terrible and frustrating to hear. #Match,7.0,39,5,51.0,2026-01
194,user_110,2026-05-03 12:00:00,Food,#Foodie,"I really hate how this Food situation turned out, so disappointing. #Foodie",14.0,9,31,54.0,2026-05
195,user_156,2026-01-21 10:00:00,Sports,#Cricket,"I'm so angry about this Sports decision, it's awful. #Cricket",33.0,5,8,46.0,2026-01
196,user_141,2026-06-12 18:00:00,Politics,#News,Really happy and excited about this Politics news! #News,13.0,1,1,15.0,2026-06
197,user_130,2026-03-17 14:00:00,Travel,#Wanderlust,"Wonderful experience with Travel today, feeling grateful! #Wanderlust",6.0,2,1,9.0,2026-03
198,user_197,2026-06-17 20:00:00,Health,#Health,"This Health update made my day, absolutely brilliant! #Health",51.0,3,3,57.0,2026-06
199,user_103,2026-03-28 14:00:00,Entertainment,#Drama,This Entertainment news is terrible and frustrating to hear. #Drama,113.0,9,8,130.0,2026-03
200,user_66,2026-03-22 21:00:00,Health,#Gym,This is a report regarding recent Health activity. #Gym,9.0,3,0,12.0,2026-03
201,user_22,2026-01-18 02:00:00,Travel,#Adventure,Sharing details about the latest Travel developments. #Adventure,9.0,4,1,14.0,2026-01
202,user_16,2026-02-03 17:00:00,Sports,#Sports,Feeling sad and upset about this Sports outcome. #Sports,4.0,1,4,9.0,2026-02
203,user_185,2026-06-20 13:00:00,Travel,#Explore,"I'm so angry about this Travel decision, it's awful. #Explore",11.0,6,5,22.0,2026-06
204,user_148,2026-04-01 03:00:00,Technology,#Coding,An update on Technology matters was released today. #Coding,58.0,0,12,70.0,2026-04
205,user_143,2026-01-28 11:00:00,Entertainment,#Music,"Great job on this Entertainment thing, truly impressive! #Music",49.0,1,16,66.0,2026-01
